text,label
Microsoft raised millions in a new funding round,2
A new programming framework gained popularity among developers,3
Elections in Germany triggered political debates nationwide,0
The tournament ended with a dramatic penalty shootout,1
Oil prices surged due to global supply chain disruptions,2
Meta invested heavily in artificial intelligence research,3
The government of Germany announced new foreign policy changes,0
The Warriors won the championship after a thrilling final match,1
Amazon raised millions in a new funding round,2
Tesla invested heavily in artificial intelligence research,3
Leaders from Canada held an emergency diplomatic meeting,0
Fans celebrated as Manchester United lifted the national trophy,1
Investors showed interest in retail sector growth,2
Tesla released a new AI-powered device for consumers,3
The government of France announced new foreign policy changes,0
The Warriors won the championship after a thrilling final match,1
Tesla reported record quarterly profits this year,2
Researchers achieved breakthrough in quantum computing,3
A peace agreement was signed between Japan and India,0
The Warriors won the championship after a thrilling final match,1
Investors showed interest in energy sector growth,2
Meta released a new AI-powered device for consumers,3
Leaders from India held an emergency diplomatic meeting,0
The Manchester United won the championship after a thrilling final match,1
Microsoft reported record quarterly profits this year,2
Apple released a new AI-powered device for consumers,3
Leaders from India held an emergency diplomatic meeting,0
The Barcelona won the championship after a thrilling final match,1
Investors showed interest in energy sector growth,2
Cybersecurity experts warned about new malware threats,3
New environmental regulations introduced by Japan's parliament,0
Bryant broke the world record in the finals,1
Investors showed interest in finance sector growth,2
Apple released a new AI-powered device for consumers,3
Leaders from USA held an emergency diplomatic meeting,0
Federer scored a last-minute goal to secure the victory,1
Oil prices surged due to global supply chain disruptions,2
Amazon invested heavily in artificial intelligence research,3
A peace agreement was signed between Japan and Brazil,0
The tournament ended with a dramatic penalty shootout,1
The stock market reacted to inflation reports with heavy trading,2
A new programming framework gained popularity among developers,3
A peace agreement was signed between Canada and USA,0
The tournament ended with a dramatic penalty shootout,1
Investors showed interest in technology sector growth,2
A new programming framework gained popularity among developers,3
The government of Japan announced new foreign policy changes,0
Ronaldo scored a last-minute goal to secure the victory,1
Amazon raised millions in a new funding round,2
Google released a new AI-powered device for consumers,3
Elections in Germany triggered political debates nationwide,0
The tournament ended with a dramatic penalty shootout,1
Google raised millions in a new funding round,2
Cybersecurity experts warned about new malware threats,3
The government of Canada announced new foreign policy changes,0
The Barcelona won the championship after a thrilling final match,1
Amazon reported record quarterly profits this year,2
Meta invested heavily in artificial intelligence research,3
Elections in Canada triggered political debates nationwide,0
Federer scored a last-minute goal to secure the victory,1
Amazon reported record quarterly profits this year,2
Tesla invested heavily in artificial intelligence research,3
Leaders from China held an emergency diplomatic meeting,0
Fans celebrated as Manchester United lifted the national trophy,1
The stock market reacted to inflation reports with heavy trading,2
Tesla invested heavily in artificial intelligence research,3
A peace agreement was signed between Japan and Japan,0
Fans celebrated as Yankees lifted the national trophy,1
Amazon raised millions in a new funding round,2
Cybersecurity experts warned about new malware threats,3
Leaders from Canada held an emergency diplomatic meeting,0
The Yankees won the championship after a thrilling final match,1
Oil prices surged due to global supply chain disruptions,2
A new programming framework gained popularity among developers,3
Leaders from Japan held an emergency diplomatic meeting,0
Ronaldo broke the world record in the finals,1
The stock market reacted to inflation reports with heavy trading,2
Amazon invested heavily in artificial intelligence research,3
The government of Germany announced new foreign policy changes,0
The Barcelona won the championship after a thrilling final match,1
Investors showed interest in energy sector growth,2
Microsoft released a new AI-powered device for consumers,3
New environmental regulations introduced by Canada's parliament,0
Federer broke the world record in the finals,1
The stock market reacted to inflation reports with heavy trading,2
Researchers achieved breakthrough in quantum computing,3
The government of Canada announced new foreign policy changes,0
The tournament ended with a dramatic penalty shootout,1
Investors showed interest in technology sector growth,2
Cybersecurity experts warned about new malware threats,3
Elections in Brazil triggered political debates nationwide,0
Federer scored a last-minute goal to secure the victory,1
Oil prices surged due to global supply chain disruptions,2
Researchers achieved breakthrough in quantum computing,3
The government of Canada announced new foreign policy changes,0
Messi broke the world record in the finals,1
Oil prices surged due to global supply chain disruptions,2
A new programming framework gained popularity among developers,3
The government of Japan announced new foreign policy changes,0
The Barcelona won the championship after a thrilling final match,1
Microsoft raised millions in a new funding round,2
Cybersecurity experts warned about new malware threats,3
Elections in France triggered political debates nationwide,0
The Warriors won the championship after a thrilling final match,1
Microsoft raised millions in a new funding round,2
Cybersecurity experts warned about new malware threats,3
Elections in USA triggered political debates nationwide,0
The Manchester United won the championship after a thrilling final match,1
The stock market reacted to inflation reports with heavy trading,2
Cybersecurity experts warned about new malware threats,3
New environmental regulations introduced by Brazil's parliament,0
Nadal broke the world record in the finals,1
Meta reported record quarterly profits this year,2
Microsoft released a new AI-powered device for consumers,3
A peace agreement was signed between Brazil and Germany,0
The Yankees won the championship after a thrilling final match,1
Oil prices surged due to global supply chain disruptions,2
Researchers achieved breakthrough in quantum computing,3
Elections in India triggered political debates nationwide,0
The tournament ended with a dramatic penalty shootout,1
Investors showed interest in energy sector growth,2
Google released a new AI-powered device for consumers,3
Leaders from Canada held an emergency diplomatic meeting,0
The tournament ended with a dramatic penalty shootout,1
Apple raised millions in a new funding round,2
Cybersecurity experts warned about new malware threats,3
Elections in Canada triggered political debates nationwide,0
Jordan scored a last-minute goal to secure the victory,1
Tesla raised millions in a new funding round,2
Google invested heavily in artificial intelligence research,3
The government of Japan announced new foreign policy changes,0
The Warriors won the championship after a thrilling final match,1
The stock market reacted to inflation reports with heavy trading,2
Apple released a new AI-powered device for consumers,3
Leaders from Germany held an emergency diplomatic meeting,0
Fans celebrated as Bulls lifted the national trophy,1
Amazon raised millions in a new funding round,2
Researchers achieved breakthrough in quantum computing,3
The government of Japan announced new foreign policy changes,0
The Bulls won the championship after a thrilling final match,1
Amazon reported record quarterly profits this year,2
Researchers achieved breakthrough in quantum computing,3
The government of Brazil announced new foreign policy changes,0
The tournament ended with a dramatic penalty shootout,1
The stock market reacted to inflation reports with heavy trading,2
Researchers achieved breakthrough in quantum computing,3
New environmental regulations introduced by USA's parliament,0
Federer scored a last-minute goal to secure the victory,1
Apple reported record quarterly profits this year,2
Researchers achieved breakthrough in quantum computing,3
Leaders from France held an emergency diplomatic meeting,0
Ronaldo broke the world record in the finals,1
Google reported record quarterly profits this year,2
Cybersecurity experts warned about new malware threats,3
The government of USA announced new foreign policy changes,0
Fans celebrated as Warriors lifted the national trophy,1
Investors showed interest in healthcare sector growth,2
Cybersecurity experts warned about new malware threats,3
Leaders from Canada held an emergency diplomatic meeting,0
The tournament ended with a dramatic penalty shootout,1
Tesla raised millions in a new funding round,2
A new programming framework gained popularity among developers,3
Leaders from USA held an emergency diplomatic meeting,0
The Lakers won the championship after a thrilling final match,1
Oil prices surged due to global supply chain disruptions,2
A new programming framework gained popularity among developers,3
A peace agreement was signed between China and Brazil,0
Jordan broke the world record in the finals,1
Microsoft reported record quarterly profits this year,2
Tesla invested heavily in artificial intelligence research,3
Elections in Canada triggered political debates nationwide,0
Bryant broke the world record in the finals,1
The stock market reacted to inflation reports with heavy trading,2
Meta invested heavily in artificial intelligence research,3
Leaders from Canada held an emergency diplomatic meeting,0
The tournament ended with a dramatic penalty shootout,1
Oil prices surged due to global supply chain disruptions,2
Cybersecurity experts warned about new malware threats,3
Elections in India triggered political debates nationwide,0
The tournament ended with a dramatic penalty shootout,1
The stock market reacted to inflation reports with heavy trading,2
Meta released a new AI-powered device for consumers,3
Elections in Germany triggered political debates nationwide,0
The Barcelona won the championship after a thrilling final match,1
Oil prices surged due to global supply chain disruptions,2
Cybersecurity experts warned about new malware threats,3
Elections in Brazil triggered political debates nationwide,0
Bryant scored a last-minute goal to secure the victory,1
Apple reported record quarterly profits this year,2
Microsoft invested heavily in artificial intelligence research,3
The government of India announced new foreign policy changes,0
Federer broke the world record in the finals,1
Apple raised millions in a new funding round,2
Cybersecurity experts warned about new malware threats,3
Leaders from India held an emergency diplomatic meeting,0
Fans celebrated as Lakers lifted the national trophy,1
Tesla reported record quarterly profits this year,2
Google released a new AI-powered device for consumers,3
The government of China announced new foreign policy changes,0
The tournament ended with a dramatic penalty shootout,1
Microsoft reported record quarterly profits this year,2
Cybersecurity experts warned about new malware threats,3
New environmental regulations introduced by China's parliament,0
Jordan scored a last-minute goal to secure the victory,1
The stock market reacted to inflation reports with heavy trading,2
A new programming framework gained popularity among developers,3
New environmental regulations introduced by Japan's parliament,0
Jordan scored a last-minute goal to secure the victory,1
Investors showed interest in technology sector growth,2
Cybersecurity experts warned about new malware threats,3
New environmental regulations introduced by Japan's parliament,0
Federer scored a last-minute goal to secure the victory,1
The stock market reacted to inflation reports with heavy trading,2
Cybersecurity experts warned about new malware threats,3
Leaders from India held an emergency diplomatic meeting,0
The Lakers won the championship after a thrilling final match,1
Oil prices surged due to global supply chain disruptions,2
A new programming framework gained popularity among developers,3
Leaders from Brazil held an emergency diplomatic meeting,0
The Barcelona won the championship after a thrilling final match,1
Oil prices surged due to global supply chain disruptions,2
Amazon invested heavily in artificial intelligence research,3
New environmental regulations introduced by Canada's parliament,0
The Barcelona won the championship after a thrilling final match,1
Investors showed interest in retail sector growth,2
A new programming framework gained popularity among developers,3
Elections in China triggered political debates nationwide,0
Federer scored a last-minute goal to secure the victory,1
Oil prices surged due to global supply chain disruptions,2
A new programming framework gained popularity among developers,3
Elections in France triggered political debates nationwide,0
The Manchester United won the championship after a thrilling final match,1
The stock market reacted to inflation reports with heavy trading,2
Researchers achieved breakthrough in quantum computing,3
Elections in Germany triggered political debates nationwide,0
Messi scored a last-minute goal to secure the victory,1
Tesla reported record quarterly profits this year,2
Google released a new AI-powered device for consumers,3
A peace agreement was signed between Japan and Brazil,0
Fans celebrated as Warriors lifted the national trophy,1
The stock market reacted to inflation reports with heavy trading,2
Cybersecurity experts warned about new malware threats,3
New environmental regulations introduced by USA's parliament,0
Fans celebrated as Barcelona lifted the national trophy,1
The stock market reacted to inflation reports with heavy trading,2
Cybersecurity experts warned about new malware threats,3
The government of Canada announced new foreign policy changes,0
The tournament ended with a dramatic penalty shootout,1
Microsoft reported record quarterly profits this year,2
A new programming framework gained popularity among developers,3
Leaders from USA held an emergency diplomatic meeting,0
Fans celebrated as Bulls lifted the national trophy,1
Meta raised millions in a new funding round,2
Google released a new AI-powered device for consumers,3
A peace agreement was signed between Germany and Brazil,0
Fans celebrated as Yankees lifted the national trophy,1
Oil prices surged due to global supply chain disruptions,2
Meta released a new AI-powered device for consumers,3
Elections in China triggered political debates nationwide,0
Bryant broke the world record in the finals,1
Investors showed interest in retail sector growth,2
Researchers achieved breakthrough in quantum computing,3
The government of Germany announced new foreign policy changes,0
The tournament ended with a dramatic penalty shootout,1
The stock market reacted to inflation reports with heavy trading,2
A new programming framework gained popularity among developers,3
Elections in Germany triggered political debates nationwide,0
Jordan broke the world record in the finals,1
Investors showed interest in healthcare sector growth,2
Researchers achieved breakthrough in quantum computing,3
A peace agreement was signed between France and Germany,0
Ronaldo scored a last-minute goal to secure the victory,1
The stock market reacted to inflation reports with heavy trading,2
Apple invested heavily in artificial intelligence research,3
Elections in Germany triggered political debates nationwide,0
Nadal scored a last-minute goal to secure the victory,1
Google raised millions in a new funding round,2
Amazon released a new AI-powered device for consumers,3
Elections in France triggered political debates nationwide,0
The tournament ended with a dramatic penalty shootout,1
Microsoft reported record quarterly profits this year,2
Researchers achieved breakthrough in quantum computing,3
New environmental regulations introduced by Japan's parliament,0
The tournament ended with a dramatic penalty shootout,1
Oil prices surged due to global supply chain disruptions,2
Google invested heavily in artificial intelligence research,3
Elections in USA triggered political debates nationwide,0
Nadal broke the world record in the finals,1
Apple raised millions in a new funding round,2
Google released a new AI-powered device for consumers,3
Elections in Japan triggered political debates nationwide,0
The Warriors won the championship after a thrilling final match,1
Investors showed interest in energy sector growth,2
Amazon released a new AI-powered device for consumers,3
New environmental regulations introduced by Brazil's parliament,0
The Yankees won the championship after a thrilling final match,1
The stock market reacted to inflation reports with heavy trading,2
Cybersecurity experts warned about new malware threats,3
Leaders from USA held an emergency diplomatic meeting,0
Bryant scored a last-minute goal to secure the victory,1
Oil prices surged due to global supply chain disruptions,2
Apple released a new AI-powered device for consumers,3
Elections in France triggered political debates nationwide,0
The Yankees won the championship after a thrilling final match,1
Investors showed interest in technology sector growth,2
Researchers achieved breakthrough in quantum computing,3
New environmental regulations introduced by Japan's parliament,0
The tournament ended with a dramatic penalty shootout,1
The stock market reacted to inflation reports with heavy trading,2
Google invested heavily in artificial intelligence research,3
Leaders from India held an emergency diplomatic meeting,0
Messi broke the world record in the finals,1
Amazon raised millions in a new funding round,2
Tesla released a new AI-powered device for consumers,3
Elections in China triggered political debates nationwide,0
The tournament ended with a dramatic penalty shootout,1
Oil prices surged due to global supply chain disruptions,2
Microsoft released a new AI-powered device for consumers,3
The government of Brazil announced new foreign policy changes,0
Ronaldo broke the world record in the finals,1
Apple reported record quarterly profits this year,2
Microsoft invested heavily in artificial intelligence research,3
Leaders from Japan held an emergency diplomatic meeting,0
Nadal scored a last-minute goal to secure the victory,1
Oil prices surged due to global supply chain disruptions,2
Researchers achieved breakthrough in quantum computing,3
Leaders from USA held an emergency diplomatic meeting,0
Federer broke the world record in the finals,1
Oil prices surged due to global supply chain disruptions,2
Researchers achieved breakthrough in quantum computing,3
Elections in USA triggered political debates nationwide,0
The Yankees won the championship after a thrilling final match,1
Oil prices surged due to global supply chain disruptions,2
A new programming framework gained popularity among developers,3
Leaders from Japan held an emergency diplomatic meeting,0
Jordan broke the world record in the finals,1
Oil prices surged due to global supply chain disruptions,2
Google invested heavily in artificial intelligence research,3
New environmental regulations introduced by India's parliament,0
The Yankees won the championship after a thrilling final match,1
Investors showed interest in energy sector growth,2
Meta invested heavily in artificial intelligence research,3
A peace agreement was signed between Japan and Brazil,0
The tournament ended with a dramatic penalty shootout,1
Investors showed interest in energy sector growth,2
Cybersecurity experts warned about new malware threats,3
The government of China announced new foreign policy changes,0
Nadal broke the world record in the finals,1
Apple reported record quarterly profits this year,2
Meta invested heavily in artificial intelligence research,3
A peace agreement was signed between Germany and China,0
Ronaldo scored a last-minute goal to secure the victory,1
Investors showed interest in retail sector growth,2
Tesla released a new AI-powered device for consumers,3
Leaders from Japan held an emergency diplomatic meeting,0
The tournament ended with a dramatic penalty shootout,1
Tesla reported record quarterly profits this year,2
A new programming framework gained popularity among developers,3
Elections in France triggered political debates nationwide,0
Federer scored a last-minute goal to secure the victory,1
Oil prices surged due to global supply chain disruptions,2
Cybersecurity experts warned about new malware threats,3
A peace agreement was signed between India and Japan,0
Messi scored a last-minute goal to secure the victory,1
The stock market reacted to inflation reports with heavy trading,2
A new programming framework gained popularity among developers,3
Elections in Brazil triggered political debates nationwide,0
Fans celebrated as Warriors lifted the national trophy,1
Microsoft reported record quarterly profits this year,2
Researchers achieved breakthrough in quantum computing,3
Leaders from Germany held an emergency diplomatic meeting,0
The Yankees won the championship after a thrilling final match,1
Microsoft raised millions in a new funding round,2
Google invested heavily in artificial intelligence research,3
New environmental regulations introduced by China's parliament,0
The tournament ended with a dramatic penalty shootout,1
Oil prices surged due to global supply chain disruptions,2
A new programming framework gained popularity among developers,3
The government of Germany announced new foreign policy changes,0
The tournament ended with a dramatic penalty shootout,1
Microsoft raised millions in a new funding round,2
Meta invested heavily in artificial intelligence research,3
New environmental regulations introduced by Germany's parliament,0
Jordan broke the world record in the finals,1
Google raised millions in a new funding round,2
Researchers achieved breakthrough in quantum computing,3
Elections in France triggered political debates nationwide,0
The Yankees won the championship after a thrilling final match,1
Microsoft raised millions in a new funding round,2
Cybersecurity experts warned about new malware threats,3
New environmental regulations introduced by China's parliament,0
Federer scored a last-minute goal to secure the victory,1
Microsoft raised millions in a new funding round,2
Apple released a new AI-powered device for consumers,3
The government of USA announced new foreign policy changes,0
Federer broke the world record in the finals,1
The stock market reacted to inflation reports with heavy trading,2
Cybersecurity experts warned about new malware threats,3
Elections in Japan triggered political debates nationwide,0
Fans celebrated as Barcelona lifted the national trophy,1
The stock market reacted to inflation reports with heavy trading,2
A new programming framework gained popularity among developers,3
A peace agreement was signed between Brazil and Germany,0
Fans celebrated as Bulls lifted the national trophy,1
Investors showed interest in healthcare sector growth,2
Cybersecurity experts warned about new malware threats,3
New environmental regulations introduced by China's parliament,0
The tournament ended with a dramatic penalty shootout,1
Oil prices surged due to global supply chain disruptions,2
Apple released a new AI-powered device for consumers,3
Elections in Canada triggered political debates nationwide,0
Federer scored a last-minute goal to secure the victory,1
Investors showed interest in healthcare sector growth,2
A new programming framework gained popularity among developers,3
A peace agreement was signed between India and Japan,0
The Lakers won the championship after a thrilling final match,1
Amazon raised millions in a new funding round,2
Researchers achieved breakthrough in quantum computing,3
Elections in USA triggered political debates nationwide,0
The tournament ended with a dramatic penalty shootout,1
Oil prices surged due to global supply chain disruptions,2
Apple released a new AI-powered device for consumers,3
A peace agreement was signed between India and Brazil,0
The tournament ended with a dramatic penalty shootout,1
Oil prices surged due to global supply chain disruptions,2
Google invested heavily in artificial intelligence research,3
Elections in India triggered political debates nationwide,0
Federer broke the world record in the finals,1
Investors showed interest in retail sector growth,2
Google released a new AI-powered device for consumers,3
The government of Canada announced new foreign policy changes,0
Messi broke the world record in the finals,1
Tesla reported record quarterly profits this year,2
A new programming framework gained popularity among developers,3
The government of USA announced new foreign policy changes,0
Fans celebrated as Barcelona lifted the national trophy,1
Oil prices surged due to global supply chain disruptions,2
Google invested heavily in artificial intelligence research,3
Elections in Brazil triggered political debates nationwide,0
Ronaldo broke the world record in the finals,1
